 basin_huc basin__id basin_name encoded_feature-0 encoded_feature-1 encoded_feature-2 encoded_feature-3 encoded_feature-4 encoded_feature-5 encoded_feature-6 encoded_feature-7 encoded_feature-8 encoded_feature-9 encoded_feature-10 encoded_feature-11 encoded_feature-12 encoded_feature-13 encoded_feature-14 encoded_feature-15 encoded_feature-16 encoded_feature-17 encoded_feature-18 encoded_feature-19 encoded_feature-20 encoded_feature-21 encoded_feature-22 encoded_feature-23 encoded_feature-24 encoded_feature-25 encoded_feature-26
0 01 01054200 "                       Wild River at Gilead, Maine" 0.4206087 0.09452014 0.29708293 0.052393425 0.05237838 0.020159528 0.011203269 0.9005486 0.9052341 0.96981627 0.0029530325 0.68864673 0.011889905 0.99598396 0.50667423 0.994555 0.992789 0.992546 0.99040645 0.989364 0.98698807 0.2371885 0.9809198 0.06915902 0.23418564 0.9607721 0.011228313
1 01 01055000 "                   Swift River near Roxbury, Maine" 0.59546095 0.09148731 0.19751939 0.041820783 0.027228529 0.02365793 0.01162914 0.87928396 0.72883934 0.97192556 0.004768266 0.43971148 0.0165693 0.9944173 0.58243567 0.9878947 0.99034727 0.98749465 0.98380417 0.9863427 0.97487587 0.14020026 0.98532736 0.08173749 0.25337914 0.8749318 0.009973951
2 01 01057000 " Little Androscoggin River near South Paris, Maine" 0.70040137 0.047654327 0.19597644 0.06796091 0.054674547 0.027276844 0.025136473 0.7233975 0.27643418 0.9830814 0.008973132 0.1345661 0.038670678 0.99682057 0.55620724 0.9822143 0.98989946 0.98260075 0.97991025 0.9633178 0.96004355 0.07989842 0.9740123 0.09515333 0.21900475 0.4950877 0.020193767
3 01 01073000 "                      OYSTER RIVER NEAR DURHAM, NH" 0.838965 0.027498884 0.09275852 0.034943853 0.031237332 0.023921575 0.011961718 0.512843 0.25045866 0.9827297 0.022460151 0.1359791 0.04531951 0.9982791 0.6574685 0.9835675 0.9848194 0.98502016 0.9720033 0.98622966 0.96594375 0.064899825 0.9790811 0.11851296 0.14588949 0.5255962 0.014979676
4 01 01078000 "                      SMITH RIVER NEAR BRISTOL, NH" 0.7567898 0.032699067 0.1414428 0.06587263 0.045746557 0.028094012 0.031050725 0.5364285 0.34250903 0.9832312 0.011689748 0.12646905 0.036561813 0.9968256 0.5190115 0.97897893 0.98383415 0.9789513 0.9658681 0.9696344 0.94875884 0.09121002 0.97432107 0.096060455 0.21168198 0.52658165 0.023961376
5 01 01118300 "       PENDLETON HILL BROOK NEAR CLARKS FALLS, CT." 0.5321265 0.05739112 0.25736716 0.16318652 0.09450578 0.07943762 0.101037696 0.50788957 0.6183623 0.8849821 0.043590974 0.12286504 0.02814552 0.99107474 0.58949053 0.9388455 0.91962445 0.9068234 0.7688184 0.9482821 0.89708704 0.15917349 0.93820006 0.11027652 0.26322997 0.26493162 0.04830011
6 01 01121000 "            MOUNT HOPE RIVER NEAR WARRENVILLE, CT." 0.55759543 0.12143734 0.2713207 0.106985904 0.07418324 0.08242137 0.06026083 0.60785186 0.63581216 0.835318 0.022954913 0.26497346 0.036818847 0.9782662 0.4783162 0.9541667 0.9209643 0.92774 0.8685188 0.94037956 0.9190872 0.18873903 0.9426257 0.10853196 0.39035976 0.49046642 0.052372452
7 01 01123000 "                    LITTLE RIVER NEAR HANOVER, CT." 0.5030395 0.18543804 0.39872274 0.15776935 0.14912128 0.13859034 0.091585375 0.50586987 0.57193744 0.7242107 0.07565385 0.2512776 0.083641015 0.96747386 0.4569101 0.9215897 0.88232917 0.8691664 0.7996103 0.92343277 0.8751141 0.22548102 0.88551915 0.17533036 0.39460465 0.34351885 0.11107857
8 01 01134500 "                        MOOSE RIVER AT VICTORY, VT" 0.6486477 0.037770055 0.10439852 0.046104774 0.027317092 0.026104424 0.035724517 0.70064646 0.28648567 0.97385764 0.0063986382 0.15981896 0.027159266 0.99277145 0.5315766 0.97008115 0.9841419 0.9717435 0.9744028 0.95600706 0.9619652 0.112453364 0.97350115 0.08795853 0.22592466 0.7620015 0.009791737
9 01 01137500 "        AMMONOOSUC RIVER AT BETHLEHEM JUNCTION, NH" 0.5078712 0.11032168 0.30295593 0.035612248 0.057958845 0.03716075 0.028972821 0.77578914 0.7820684 0.93141246 0.039889608 0.4106278 0.052885342 0.9899065 0.3482496 0.96711206 0.97340435 0.9611819 0.9581836 0.9544809 0.9570017 0.10715211 0.96922493 0.13649046 0.520333 0.6190196 0.013888743
10 01 01139000 "                    WELLS RIVER AT WELLS RIVER, VT" 0.46533227 0.14895733 0.15321998 0.041501578 0.053732395 0.060812663 0.031042153 0.58539325 0.5245335 0.9409515 0.06964539 0.31845826 0.121231794 0.98082286 0.3967735 0.9328933 0.96852016 0.95551306 0.9341113 0.9553757 0.910068 0.124113105 0.9659674 0.14295228 0.38091472 0.5256126 0.032403484
11 01 01139800 "             EAST ORANGE BRANCH AT EAST ORANGE, VT" 0.48967782 0.1311249 0.13597357 0.03062896 0.0395875 0.053101383 0.024557434 0.55502623 0.59440684 0.9375747 0.083661705 0.34771922 0.12288258 0.98609644 0.37534568 0.94163126 0.96688753 0.9593693 0.92507106 0.9634159 0.9211696 0.0977212 0.9716409 0.16004315 0.41192755 0.47729224 0.024479471
12 01 01142500 "                       AYERS BROOK AT RANDOLPH, VT" 0.588242 0.061656278 0.15960926 0.04314191 0.051181152 0.04752804 0.027757186 0.56321716 0.5606813 0.95624703 0.032011896 0.23532046 0.056041025 0.9924372 0.43566343 0.9579568 0.96682024 0.9635075 0.93617463 0.9669738 0.9373121 0.09629566 0.97072554 0.12973893 0.32661358 0.46885148 0.031000227
13 01 01144000 "                  WHITE RIVER AT WEST HARTFORD, VT" 0.64624494 0.05886026 0.17595813 0.05147215 0.054906134 0.047421154 0.030592866 0.6019792 0.58474547 0.9544611 0.026220493 0.23608649 0.048702125 0.9928911 0.43621063 0.96167797 0.9630241 0.9635724 0.92719954 0.96749365 0.94212633 0.11432537 0.9676952 0.12360652 0.35117975 0.5014563 0.033351585
14 01 01162500 "                  PRIEST BROOK NEAR WINCHENDON, MA" 0.7550233 0.01838589 0.12599681 0.10592153 0.065500796 0.01991636 0.05389818 0.45062974 0.20844425 0.9907809 0.01272435 0.028726708 0.032327063 0.9988128 0.6787463 0.98951983 0.98906004 0.98145974 0.9615935 0.95887583 0.9478504 0.05604857 0.96905106 0.05225338 0.15215045 0.20245074 0.020233667
15 01 01169000 "                  NORTH RIVER AT SHATTUCKVILLE, MA" 0.7571639 0.031845607 0.14970921 0.035695616 0.030711666 0.027060602 0.011271153 0.70705533 0.6699051 0.96803266 0.007800573 0.33177668 0.013119653 0.99701655 0.43162143 0.9789858 0.9845434 0.9847306 0.9610773 0.9835524 0.9632542 0.08895607 0.98524797 0.12513316 0.25300992 0.68648493 0.012638366
16 01 01170100 "                      GREEN RIVER NEAR COLRAIN, MA" 0.7223647 0.029077899 0.14001147 0.038432103 0.03389034 0.029529244 0.019161703 0.62507546 0.62994766 0.96375597 0.0162906 0.23911305 0.02349846 0.9970252 0.4541084 0.9735946 0.978281 0.97626275 0.95088065 0.979785 0.95963466 0.08286023 0.98092306 0.1294335 0.26874846 0.5562441 0.014027573
17 01 01181000 "     WEST BRANCH WESTFIELD RIVER AT HUNTINGTON, MA" 0.82618743 0.027840685 0.09430089 0.01696478 0.018088182 0.016573822 0.0056357137 0.7495564 0.62548804 0.9688811 0.006252606 0.29744512 0.0123589765 0.99778724 0.49524263 0.98927885 0.9869969 0.98876673 0.97556925 0.9905663 0.98137915 0.060154904 0.99129117 0.09718717 0.30042312 0.7156976 0.008280564
18 01 01187300 "              HUBBARD RIVER NR. WEST HARTLAND, CT." 0.7698966 0.050959285 0.115936026 0.028945092 0.030792749 0.02301959 0.007079314 0.76475114 0.66576856 0.96411514 0.0030275239 0.41681585 0.01293823 0.9956607 0.4499802 0.99106264 0.9864726 0.9928889 0.9755676 0.98801965 0.9827176 0.12103881 0.9879183 0.08187295 0.4083326 0.8574106 0.014468073
19 02 01333000 "                   GREEN RIVER AT WILLIAMSTOWN, MA" 0.68908554 0.025773138 0.16179883 0.07979469 0.07021156 0.038780484 0.054978874 0.555997 0.66665775 0.96308243 0.015992187 0.08028368 0.0348214 0.9954535 0.56742847 0.9755442 0.9581359 0.9640079 0.88705444 0.95871276 0.9420511 0.11521061 0.9626776 0.09755612 0.3595163 0.43829745 0.03625713
20 02 01350000 "                 SCHOHARIE CREEK AT PRATTSVILLE NY" 0.88278425 0.018593328 0.088811666 0.020508185 0.021358728 0.007636007 0.0047348565 0.812711 0.7332243 0.99257654 0.000873609 0.10685722 0.011625863 0.9986331 0.44421026 0.9972505 0.98871905 0.9980281 0.98512936 0.9930734 0.9918128 0.16106005 0.9931084 0.045021374 0.68816006 0.8176876 0.009176665
21 02 01350140 "                  MINE KILL NEAR NORTH BLENHEIM NY" 0.836092 0.04550785 0.10378025 0.039961178 0.036600098 0.016709771 0.008277695 0.755945 0.6769381 0.98555994 0.0030174616 0.13839605 0.031528533 0.9953335 0.41588053 0.99402374 0.96950847 0.9957398 0.96726215 0.9851821 0.97864974 0.3567095 0.98600614 0.07448172 0.8244083 0.6899222 0.029674161
